details,etat,adresse,prix,image_lien
MACHINE A LAVER INDESIT,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE A LAVER IBERNA,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER ASTECH 7 KG MLG73V730DG,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE A LAVER ASTECH 12KG MLG12C-V120C-CI,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER 9KG ASTECH SILVER,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER 7KG ENDURO A+++,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER 6KG ENDURO A+++,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER 6KG COMFEE A+,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE À LAVER 8KG A+++ ENDURO SILVER,Neuf,Plateau                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
MACHINE A LAVER -SAMSUNG - 7KGS  – SILVER – A+,Neuf,Ouakam                                                                                Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/63de3fb3319aa1aba8b7dfb9c0521d14/-/horizon-files-prod/ed/picture/q44jwr9p/768e839fa225880bc916ca306994443d942ee649.jpg
