details,etat,adresse,prix,image_lien
PLAQUE ENCASTRABLE TECHNOLUX 5 FEUX 70×60 À GAZ,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
CUISINIÈRE CAC 4 FEUX 50×50 BLACK CAC50G,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
CUISINIÈRE CAC 4 FEUX 60×60 BLACK CAC60G,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
Friteuse Double bacs  9 L,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
GAZINIERE  2 Feux et 3 feux,Neuf,Point-e                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
FOUR ENCASTRABLE A GAZ TECHNOLUX,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
FOUR ENCASTRABLE TECHNOLUX ELEC 60X60,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
FOUR ENCASTRABLE - ASTECH - ELECTRIQUE - ASTECH - 90/60,Neuf,Ouakam                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
FOUR ENCASTRABLE ASTECH ELECTRIQUE AVEC AFFICHAGE,Neuf,Ouakam                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
Cuisinière à Gaz Avec Étagère - 4 Feux,Neuf,Plateau                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39390fe91df97609258d121b8a9a63b9/-/horizon-files-prod/ed/picture/qrzz266q/954f6a29d4c31def4e05d713feec6308c621e8f0.jpg
CUISINIÈRE ASTECH 5 FEUX 90×60 CK92CRM,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ASTECH 6 FEUX CIS 80/60 MS,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINE ASTECH 4 FEUX 60X60 INOX avec GRILLE,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ELACTRON 4 FEUX 50×50 INOX,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ASTECH 4 FEUX 50X50 INOX,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ASTECH 4FEUX 50X50 inox,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ASTECH 4 FEUX 50×50 MIS CSI-50MS,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE ASTECH 4 FEUX 60×60 AVEC GRILL CK62MSFRM,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
bouilloire Thermos électrique sans fil 3L,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
CUISINIÈRE TECHNOLUX 4 FEUX 50×50 INOX TEC 50 CS,Neuf,Plateau                                                                                Dakar,119000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28dba87c86318fae4b7319fa8dc733af/-/horizon-files-prod/ed/picture/q5665wvp/e20b4c312fc7e85be3b06a875a9499047124bfc6.jpg
RÉCHAUFFAGE DECAKILA 1 FEUX NOIR KECC001B,Neuf,Plateau                                                                                Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48f5bcf132a64848afb100da96cc7409/-/horizon-files-prod/ed/picture/qdeezxgj/0075e6c940fb8d71d2e4bd4ca00af2c172572bfc.jpg
RÉCHAUFFAGE DECAKILA 2 FEUX NOIR KECC002B,Neuf,Plateau                                                                                Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48f5bcf132a64848afb100da96cc7409/-/horizon-files-prod/ed/picture/qdeezxgj/0075e6c940fb8d71d2e4bd4ca00af2c172572bfc.jpg
