details,etat,adresse,prix,image_lien
Réfrigérateur ASTECH Combiné 5 tiroirs 250litres,Neuf,Plateau                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
CONGELATEUR HORIZONTAL - MIDEA HS-200 -  200L – BLANC – A+,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
Réfrigérateur SIDE BY SIDE LG,Neuf,Plateau                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR ELECTROCOOL - 3 TIROIRS + FONTAINE-BLANC,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERTAEUR FINIX - MINI BAR - GRIS -65LITRES – AVEC CLE,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR BAR - FINIX - 2 PORTES - BCD-88 - 113L,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR COMBINE - SMART TECHNOLOGY+ FONTAINE - 262L,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR COMBINE - SMART TECHNOLOGY - 254 L - 4 TIROIRS,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR COMBINE - ELACTRON-3 TIROIRS + FONTAINE–A+,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
REFRIGERATEUR SAMSUNG 1 PORTES - 183 L,Neuf,Ouakam                                                                                Dakar,125900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2c52a136c430770986167861acd25ebe/-/horizon-files-prod/ed/picture/q69r2m7/fa12097405088c769edff27269465c9b97e106a3.jpg
CONGELATEUR HORIZONTAL  HISENSE 190 L SILVER  GRIS- A++,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
CONGELATEUR FINIX  400 LITRES – GRIS – A++ - AVEC VITRE,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
CONGELATEUR HORIZONTAL -ASTECH-600 L-GRIS - A++,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
REFRIGERATEUR - SMART TECHNOLOGY - 3T + FONTAINE - STCB 479,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
REFRIGERATEUR  - ASTECH – FC 297 – 4 T– LOW FROST – NOIR,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
PACKS,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
REFRIGERATEUR  - SMART TECHNOLOGY - STCB 358H -3T - 276L,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
Réfrigérateur- side by side –SAMSUNG - inox -501 litres,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
REFRIGERATEURCOMBINE - ASTECH  - 4 TIROIRS,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
REFRIGERATEUR  ASTECH – 4 T – LOW FROST– NOIR METALISE,Neuf,Ouakam                                                                                Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d535004568473c0537299528d2a89c2/-/horizon-files-prod/ed/picture/qk9p4vv/f6d734cd4c25cd05319c59f308f5661c77481cab.jpg
CONGELATEUR HORIZONTAL - ASTECH – 260 LITRES,Neuf,Ouakam                                                                                Dakar,189900,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec185f7767b5f611cb557e1559c37cf9/-/horizon-files-prod/ed/picture/qxjd7z6q/6029df618638bfd050f9b454f00ea903be06e140.jpg
